title,genres,year
Sweet Defeat,Jazz|Classic|Rock|Romance|IMAX,1997
A World In Fast Forward,Folk|Classic|Romance,1997
The Lost Name of God,Love|War,1992
Marseille  Live On Tour_ 1984 ,Jazz|Hate|Rock|IMAX,1997
BA1 4lent & Mompfreed: Mompfreedonium,Folk,1997
Some Kind of Record,Base|Classic|HeavyMetal,1997
Prayer Walk,Classic|Rock|HeavyMetal,1997
Dead End Sign,Art|Folk|Romance,1997
Felicidade,Love|Folk,1997
Forever,Love|Folk,1994
I Never Did No Hitler,Classic,1997
New War,Art|Classic|Romance,1997
God Gave Me You  Single LP Version ,Love|Art|Rap-Comb,1999
C'est pas ma faute,Love|Folk|Base,1997
Only Just Begun,Love|Folk,1997
Caroline  LP Version ,Jazz|Folk,1995
It's A Secret,Art|Folk,1995
Jericho   Straight On Album Version ,Jazz|Rock|IMAX,1997
Talk To Your Daughter  Album Version ,Folk|Classic,1988
You Better Stop,Folk|Romance,1979
I Got Rhythm,Love|Classic|HeavyMetal,1997
Didn't Know Yet What I'd Know When I Was Bleedin',Love|Base|Classic,2007
Born To Be Together,Folk|Classic,1991
Leo_ Are You Still Jumping Out Of Windows In Expensive Clothes?,Folk|Romance,1997
Soleil rouge,Folk,1997
Hopelessly,Love|Base|HeavyMetal,1993
Creation,Love|Classic|Western,1996
Ernestine,Classic,2005
Firewater,Folk|Solo,1997
No Soy Uno MA!s,Folk|Solo,2008
Overture Blue Tahitian Moon,Classic|HeavyMetal,1997
Cancion De Amor Eterno,Classic|Musical|Romance|IMAX,2000
Loving By Heart,Solo,1997
I'll Meet You By The River  Southern Convention Songs Version ,Folk,1997
Du machst mich irgendwann verrA1 4ckt,Folk|Rock|Solo,1997
Adrift,Classic|Romance,2008
Only Human,Classic,2004
My Last Date  With You ,Folk|Classic,1988
Fools Like You,Folk,1992
See The Big Man Cry,Solo|Bass|HeavyMetal,1997
Three Little Birds,Love|Base|Classic,2007
Sunday Cream,Base|Classic|HeavyMetal,1997
Anna Bolena  1997 Digital Remaster : Alcun potria ascoltarti,Art|Folk|Classic|Rock|Rap-Comb,1997
If you Seek Amy,Love|Art,1997
Ali Baba,Documentary,2003
Paloma Consentida,Folk|Romance|Rap-Comb,1997
L'Aventurier,Love|Base|HeavyMetal,1969
Yi Xiao Shi Chong Yin,Romance|Rap-Comb|HeavyMetal,1997
Trash  live Paris ,Base|Classic|HeavyMetal,1997
No Loafting,Documentary,1994
Talk About Me,Folk,1995
The 23rd Psalm,Folk,1997
Leave Me Be,Documentary,1997
Cheshire Grin,Folk,1997
Wishy Washy Woman,Love|Rock|Solo|IMAX,1997
Sound Clash  featuring Beenie Man    FattaSly Extended Mix,Folk,1996
 Prayer Is The Key To Heaven  Faith Unlocks The Door,Folk|Classic,1959
America's Suitehearts,Classic|Romance,2008
Finisterre  Live ,Classic|Romance|Rap-Comb,1997
Tsai Me Lemoni  2005 Digital Remaster ,Love|HeavyMetal,1997
Natural Light  Subliminal Self Help ,Classic|Solo,1997
The One Who Lives Inside Your Heart,Folk|Base,1997
If I'M Dreaming just Let Me Dream,Base|Classic|Bass|HeavyMetal,1997
The Hills Of Old Wyomin',Folk|Base,1997
Distant Cousin,Solo,1997
Apoliome Re Giorgi  Feat  Etsi De ,Classic|Rock|Romance,1997
DA c solA c  Pour La PoussiA re,Love|Base|HeavyMetal|IMAX,2004
Love,Folk,1997
Rotate,Classic|Bass|Romance,2009
Got To Tell The People,Documentary,1997
Here And Beyond,Documentary,2002
Gigantor,Love|Rap-Comb|HeavyMetal,1997
Better Days  Album Version ,Jazz|Folk|Rap-Comb,1998
If They Want It,Classic|Romance,1997
Death Blow,Love|Classic|HeavyMetal,1991
Turn The Heat Up,Folk|Classic,2005
Cursed Angel Of Doom  Previously Unreleased&Re Recorded Track ,Jazz|Folk|Rock|Romance|IMAX,1997
The Future,Love|Solo|HeavyMetal,2006
I Don't Know,Classic,1991
Xue Hua Chao,Folk,2008
Chaos  Live   Bridgehouse Tapes ,Art|Folk|Solo|Musical,1997
Over The Rainbow,Love|Jazz|Rap-Comb|HeavyMetal|IMAX,1997
Year 3_000 Blues  2002 Digital Remaster ,Classic|Bass|HeavyMetal,1970
Tell Your Momma Come,Jazz|Folk,2000
Kiss the Sky,Folk,2006
Anything's Better Than Feelin' The Blues,Classic|HeavyMetal,1999
Mary Had A Little Lamb,Love|HeavyMetal,2008
Fleetwood,Folk|Classic|Romance,1997
Anarchy in the UK  Sex Pistols   Bonus Track ,Love|Art|Folk,1986
Witchcraft  1997 Digital Remaster ,Base|Classic,1997
Go And Wash  Those Dirty Feet ,Folk|Rock|HeavyMetal,2005
October,Classic,1981
Pode Me Chamar,Love|Jazz|Romance,2007
Gateway,Folk|Romance,1997
Souffle 2,Solo,1997
Comin' Home,Base|HeavyMetal,2007
One About Heaven,Jazz|Folk|Romance,1997
Babes In Arms,Love|Jazz|Rap-Comb|IMAX,1979
The Christmas Song,Jazz|Classic|HeavyMetal,2009
Kyana,Art|Rock,1997
Cum,Classic|HeavyMetal,1997
Ur SjA ?lslig DAPd,Art,2007
Madeleine  feat  Thomas Fersen ,Hate|Solo|Rap-Comb,1997
Honey,Love|Folk|Base,1997
Rescue And Breakout,Art,2003
Zhui Zhong,Solo|HeavyMetal,1997
Silver Bells,Folk|Solo|Rap-Comb,1997
Round 7:  2138,Love|Art|Rock,1997
You Can't Hurry Love  Live ,Love|Classic|IMAX,1990
Jingle Bells,Love|Folk,1963
This Side Of Paradise,Love|Rap-Comb|HeavyMetal|IMAX,2001
Howells Delight,Folk|Classic,1997
Out Of This World,Jazz|Base|Classic,1985
Petite Fleur  Instrumental   1996 Digital Remaster ,Folk,1997
Keys To The Whip  Straight Pimpin' Mix ,Base|HeavyMetal,1997
Hey Little Girl  1949 ,Love|Jazz|Classic,1997
I Changed My Mind  DJ Spinna Remix ,Folk|Classic,2005
Ride On Time  Original Version ,Classic,1997
Mutter Erde,Love|Jazz|Rap-Comb|IMAX,1997
Seize the day,Documentary|Rock,1997
Warung Beach,Folk,2006
You Can Do Better Than Me  Album Version ,Jazz|Folk,2008
Song Sung Blue,Classic|HeavyMetal,1972
Ain't That Something,Folk,2003
Ombre Et LumiA re,Love|Base|HeavyMetal|IMAX,1997
Bad Reputation  Originally Performed by Thin Lizzy ,Jazz|Rock,1997
I've got Vilking in Me,Love|Classic,2004
That Girl,Documentary,1997
Hornpipes: The First of May   the New Century,Folk,1997
Restcure,Love|Base,1997
Midnight   LP Version ,Folk|Base|Classic,1983
Samaritanas Del Amor,Folk|Classic,1984
Sunshower,Solo|HeavyMetal,1999
Breakin',Classic,2006
Good Enough,Documentary,2006
Sahnu bhul ke Maha,Documentary,1997
The Friendly Visit   The Stack of Wheat   The Gypsy Hornpipe,Love|Jazz|Rap-Comb|IMAX,1997
Adios Pampa Mia,Base|Bass|HeavyMetal,1997
Fen Shou Zong Yao Zai Yu Tian,Solo|HeavyMetal,1997
Bailando,Folk|Classic,1997
Traffic,Folk|Classic|Romance,2007
Just One Time,Love|Jazz|Rock|Rap-Comb|IMAX,1997
His Love Says  Album ,Folk,1997
Headless Heroes  LP Version ,Base|Solo|HeavyMetal,1997
Within My Blood,Folk|Rock,2004
More Power To Ya,Documentary,1997
Mr  Wonderful,Base|Classic,1992
Same Game,Jazz|Folk,2008
Danger! She's A Stranger,Folk,2005
Decima Del Tiempo De Antes,Love|Jazz,1997
Rider 4 Real,Solo|HeavyMetal,1997
Eight  Album Version ,Folk|Romance,2001
DistrLoves,Love|Jazz|Rap-Comb|IMAX,1997
Boar Hog Blues,Love|Jazz,1997
Where We Are From,HeavyMetal,2006
El Jorobadito,Folk|Classic|Romance,1989
Ocean Drive,Love|Classic|Solo|IMAX,1995
Five Long Years,Love|Classic|Rap-Comb|IMAX,1971
Check 1_2,Art|Hate|Folk|IMAX,1999
Thug Love,Love|Classic|HeavyMetal|IMAX,1997
Show a Sign of Life,Love|Folk|Rap-Comb,2003
Everyone  LP Version ,Love|Base|HeavyMetal,2003
My Pillow,Love|Folk|Base,1997
Start Moving,Love|Jazz|Western|IMAX,1997
Mean Old World Blues,Base|Classic|Bass|HeavyMetal,1983
Ville Eyolf,Solo|HeavyMetal,2006
Macht hoch die TA1 4r,Folk|Romance,1997
Mark My Words  Album Version ,Folk|Classic|Romance,1997
C Day  Maxi Club Version ,Folk|Classic,2001
Grace And Mercy Part II,Rap-Comb,1997
Itchycoo Park,Folk|Documentary,1967
Life,Folk|Classic|Romance,1997
Les Noirs Marchant  Rudy Van Gelder 24Bit Mastering   2002 Digital Remaster ,Folk,1997
Blueberry Hill,Classic,1992
Please Belive It,Love|Folk|Rock,1997
Mass No  19 in D minor_ 'Requiem' K626: Lacrimosa,Classic|Rock|HeavyMetal|War,1997
I Walked Today Where Jesus Walked,Solo|HeavyMetal,1997
I Constantly Thank God For Esteban  Album Version ,Jazz,2005
Con Alma,Love|Jazz|Rock|Rap-Comb,1997
Spanish Grease,Folk|Classic|Romance,1997
Queen Street Rag  144826 ,Love|Folk|Base|HeavyMetal,1997
Ju Ju,Folk,2001
Song Of The Valley,Folk|Classic,1985
Estudio,Love|Folk|Base,1997
Orgullo,Classic,1997
You Gave Me A Mountain,Folk|Classic,1997
Shadow After Dark,Love|Jazz|Rap-Comb,2007
FauchA c ,Folk,1997
Xtra Thump  Featuring Tash from Tha Alkaholiks ,Jazz|Hate|Rock,2003
Cellular Phone,Art|Hate|Folk,1995
Stop Breaking Down  1994 Digital Remaster ,Folk,1997
Limbo Rock,Love|IMAX,2006
I Never Shall Forget That Day  Reunion Album Version ,Love|Art|Hate|Base,1997
What Are You Fighting For,Folk|Base,1997
Bald Head,Folk,1980
Sun Shower   Cadence Weapon Remix  Cd ,Love|Folk|Base,2007
Some Guys Have All The Luck,Love|Rap-Comb|HeavyMetal|IMAX,1981
Why Did You All Lie to Me?,Jazz|Folk,2009
Heft*,Documentary,1997
L'Homme au trapA ze volant,Art|Classic|Romance,1997
Cold Youth,Classic,2008
It's All In My Mind,Classic,2005
Bi Thus A Mo Shuile  LP Version ,Folk,1997
Move On,Love|Art|Rap-Comb,1978
Only Love,Solo|HeavyMetal,1990
AurA le et CA c line,Folk,1997
Romeo's Exile,Love|Base,1995
Times Up,Jazz|Rap-Comb,1997
Lake Charles Two Step,Love|Base,1997
What's Gonna Happen On the 8th Day,Love|Rap-Comb|IMAX,1996
Assassin,Folk|Classic|Romance,2002
Well Oh Well,Jazz|Folk|Musical|Rap-Comb,2004
Sample Track 17,Classic|Bass|HeavyMetal,1997
Playstation Generation,Folk|Romance,1997
Get Your Head Stuck On Your Neck,Solo|HeavyMetal,1997
Gail Wakes Up,Love|Classic,1997
Stand  Album Version ,Love|Folk|Base,1997
The Preacher & the Funeral,Classic,1997
Blues Again,Love|Folk|HeavyMetal,1997
I Am Fred Astaire  Album Version ,Folk,2004
Memphis Jug,Love|Classic|War,2001
I Could Use Another You  Digital Re Recording ,Jazz|Classic,1997
N'ayez crainte mesdames,Folk|Classic|Romance,1997
Honey,Folk|Classic|Romance,1997
Beautiful,Classic|Rock,2002
Aftertaste,Documentary,1997
We All Need Love,Jazz|Folk,2008
"TredveAY=rsfurua PAY= AskA,y",Folk|Solo,1997
What Woman Really Wear To Bed,Base|Classic|HeavyMetal,1997
Reminisce For A While  Sung With Raul Malo ,Classic|Romance,1996
Min Tou Milate Tou Pediou,Art|Hate|Folk|Rock,1997
The Fourth Wish,Jazz|Classic|HeavyMetal|IMAX,2006
MA ?dchen mit Plan,Art|Hate|Folk|Musical,2002
National Fencibles March,Love|Base|HeavyMetal,1997
I Will Be Free  LP Version ,Folk|Base|Classic,1997
Obsession,Love|Bass|HeavyMetal,1997
Soy De Oaxaca,Folk|Base|Classic,1997
Goin' To Hell On A Sled,Classic|Solo,1997
The World Turned Upside Down,Documentary,2005
I Want To Live  Smash Club Mix ,Base|Classic|HeavyMetal,1997
Everyone's At It,Classic|Rock|Solo,2009
Slow Ride [Live Version],Folk|Classic|HeavyMetal,1977
We Didn't Kill Each Other  But Didn't We Try  [Originally Performed by Dallas Wayne],Classic,1997
Meu Bem Meu Mal  Mi Bien Mi Mal ,Love|Jazz|Classic,1997
Don't Do That,Love|Jazz|Rap-Comb|IMAX,1997
Why U Mad At Me  Explicit Screwed Version ,Folk,2004
Over And Out [Album Version],Love|Jazz|Rock|IMAX,1991
Chuckanut Drive,Classic,2008
EnervA c ,Classic,2004
 Coffee's For Closers ,Folk|Classic|Romance,2008
The Legend of Yellow Boobie,Folk|Classic,2005
You're Not Alone,Hate|Classic|War,1997
White Girl Who Can Dance,Love|Jazz|Rap-Comb|IMAX,1997
Protect You,Jazz|Rock|IMAX,1997
Have Thine Own Way,Love|Jazz|Rock,1997
Woman Shy,Folk,1967
Frankie And Johnny,Love|Folk|Romance,1996
Take The  A  Train,Folk|Classic|Romance,1997
Big Boss Man,Jazz|Classic|Rap-Comb,1965
Machinenfunk,Base|Classic|Solo,1982
The Christmas Song,Jazz|Folk|Rock|Musical|Romance,1997
Korea  LP Version ,Classic,2000
Kenourgios Erotas,Folk|Base|Classic,1997
Thats What I Like About a Country Song,Love|Base|HeavyMetal,2008
 I Used To Couldn't Dance  Tight Pants,Classic,2008
I'm Going All The Way  Album ,Love|Art|Classic,1997
Too Late,Folk|Classic,1997
Merry Christmas Baby,Documentary,1997
Slave Song,Base|Classic,2000
Mighty Lak' a Rose,Jazz|Folk|Classic,1997
Hot Girls,Classic|Romance|Rap-Comb,1997
Can't Stop Cocoa Tea,Love|Folk|Rap-Comb,1991
Mark Practices,Classic|Rock,1997
Crave and Wonder,Love|Classic|HeavyMetal|War,1997
Junko partner,Folk|Classic,1996
The Windmills Of Your Mind,Love|Classic,1997
U Not Like Me,Love|Classic|Bass,2002
Is It The Skin I'm In?,Folk|Base,2008
Ain't That Loving You Baby,Folk,1997
Requiem Blaster,Love|Classic|Rap-Comb,1997
The Man From U N C L E ,Folk|Classic|War,1997
PrA c liminaires_ par Philippe PagA s  feat  Philippe PagA s ,Jazz|Classic|Rap-Comb,2002
Problems,Folk|Romance,1997
Crustaceans As Castanets,Solo|Bass|HeavyMetal,1997
Josephine  French Edit ,Folk|Base,2008
That you fool ed me,Hate|Folk,1997
Don't You Think It's Time To Go,Love|Base|HeavyMetal,1997
Frieda,Folk,2000
He Never Changes,Folk,1997
Pick Me Up On Your Way Down,Folk,2005
Yhteinen koti,Love|Jazz|Rock,2001
Aljarafe,Classic|Solo|Romance,1992
Way Beyond,Love|Jazz,2009
You Still Believe in Me,HeavyMetal,1997
Don't Knock Love,Folk|Base,1997
Oprah  Album Version ,Love|Art|Rock|IMAX,2006
It's Not What You Say,Love|HeavyMetal,1968
Destiny Ft: Lesk One,Classic|Solo|Bass|HeavyMetal,1997
Bata 6 8,Art|Hate,1987
It Is No Secret  What God Can Do ,Folk|Romance,1997
El Perro,Love|Jazz|Hate,2003
As Mist Lay Silent Beneath,Love|Folk,1999
Act One: Rise and Fall   From the Ashes  I  Chapter One   II  Chapter Two ,Love|Classic|HeavyMetal|IMAX,1997
Kumal & Sangha,Jazz|Romance|Rap-Comb|IMAX,1997
Shy Boy  1999 Digital Remaster ,Classic,1997
Henrys Death,Jazz|Hate|Folk|Classic|Romance,2005
Your Love,Classic,1997
Nana,Love|Rock|Rap-Comb|IMAX,1997
Eres Tu,Folk|Classic,1997
Give It All You Got,Classic,1997
Back On My New S***  feat  Tre Williams ,Bass|HeavyMetal,1997
Ducktails   Moon,Love|Jazz|Rock,1997
The Way Love Is,Love|Classic|War,1995
Mallorca_ Op 202   transcr  Marc Switzer,Love|Jazz,1997
Never My Love,Love|Base|Rap-Comb|IMAX,1994
Akhm Nakon,Base,1997
You Lasses and Lads,Classic|Bass,1997
You Left Me,Jazz|Folk|Rock,2008
Keep It Going Louder  Tom Stephan Harder Mix ,Classic,1997
February Song [Live],Folk,2008
Million Teardrops,Classic|Rock|Rap-Comb,1997
You Should Be Free,Classic|Rock|Bass,1997
Steppin' Out Tonight,Documentary,1997
Don't Cha Know,Base|Classic|HeavyMetal,1994
Take Her Out,Folk,2009
Happy Valentine's,Folk,1997
The Battle Of New Orleans,Folk|Classic,1959
Lover In Demand,Art|Folk|Classic|Romance,2000
Speed Of Sound  Emergency Broadcast Album Version ,Folk,1997
Evergreen,Folk|Romance,2002
Transamazonia  Deep Dish No Doze Mix ,Rap-Comb|IMAX,1995
Italian Concerto in F_ BWV 971   Allegro,Love|Base|Classic,1997
Unbreak My Heart,Folk,2008
Wailing Sounds,Love|Bass|HeavyMetal,2004
Tuscan Chica,Art|Classic,2007
Rebel Music,Art|Romance,2003
God Bird Change,Love|Classic|War|IMAX,1982
Spent,Documentary,2001
It's All Understood,Base|Classic|HeavyMetal,2000
The Sun is here for you,Jazz|Folk,1997
Cabaret,Solo|Rap-Comb|HeavyMetal,2007
Al maestro,Love|Base|Classic|IMAX,1997
Venti scudi,Folk|Classic|Romance,1997
The Ball,Folk|Base|Classic,2004
All That's Left,Folk,2003
The Song Is You,Classic,1997
Idnnitkhtr,Art|Folk,2004
Looking Back,Love|Classic,1997
Golden Touch  LP Version ,Folk,1988
I Heard It Throught The Grapevine,Love|Jazz|Rap-Comb|IMAX,1997
Rock The House  Radio Edit ,Jazz|Classic|IMAX,2001
Bystander  Album Version ,Jazz|Hate|Folk,2001
Old Man Rocking Chair,Folk|Classic|Romance,2004
Need To Belong To Someone,Solo|HeavyMetal,1972
I Can't Stand It,Jazz|Folk|Base,2005
Fall River Legend: Conversation: Morton Gould Agnes de Mille,Classic,1997
One Little Baby,Documentary,1997
Bonnie Mae,Documentary,1997
Light,Love|Base|HeavyMetal,1997
Les Femmes Des Autres,Love|Folk,1969
Times Square,Love|Rap-Comb|IMAX,1997
Macarena,Folk|Classic,1993
Ain`t got nothing   feat  David Banner & Eddy Soulo  ,Solo,2005
Conker The King,Classic,2005
Why Can't You Be Mine,Classic|HeavyMetal,1958
TRUE,Jazz|Hate|Folk,2000
Sailing To The Edge Of The Earth,Folk|Documentary,2006
Butts n Stuff,Folk,1997
Street Vibe,Classic|Rap-Comb|IMAX,1997
As The Terror Dances Your Way,Folk|Solo,1997
Believe,Folk|Romance,1997
Can You Hear Me,Folk|Solo,2008
Like A Dog,Love|Art|Hate|Folk|Musical,1999
Saturday Love,Love|Base|Classic,2008
How Can I,Classic,2003
I'll Be Better,Folk,1997
Sweetest Maleficia  Album Version ,Love|Jazz|Hate|Folk,1997
Easy To Lose Hope,Folk,1997
Jarabe De Pico,Love|Rap-Comb,1997
Etre Le Premier,Love|Jazz|Rap-Comb,1997
Road Age at the Farmers Market,Love|Jazz|Rap-Comb|IMAX,1997
L'antillais Donne,Folk,1997
Dayz Of Our Livez,HeavyMetal,1997
It Ain't The Meat It's The Motion,Folk,1974
Inner Chamber,Solo|Rap-Comb|HeavyMetal,1997
La Fluta Magica,Folk,1997
Hymne A L'Amour,Folk|Romance,1997
Aho,Love|Jazz|Hate|IMAX,1997
Problems,Love|Folk|Solo,1997
I've Got The World On A String,Folk|Romance,1997
Performance  Remastered ,Classic|Rock,1988
Rockin' At Midnight,Folk|Western,1997
Know Thyself,Love|Rap-Comb|IMAX,1997
Que Viva El Amor,Love|Jazz|HeavyMetal,1997
The Last Song,Love|Jazz|Rock,1997
Tocame,Folk|Classic,2008
Anya,Folk,1977
Grandma  Screwed & Chopped Version ,Classic,1997
Fairytale Land,Love|Classic,1997
Heart it Races  Yacht's I Should Coco Mix ,Classic,1997
Crawlspace,Classic|Romance,2004
Juno,Love|Art|Hate,2001
Jolie Blon's Gone,Classic,2005
En mis besos,Love|Folk|Base,2001
CentopA c ia,Love|Base|HeavyMetal,1997
DixiA me Commandement,Love|Jazz,1997
Its Raining,Classic,1997
Bewitched_ Bothered & Bewildered,Folk|Romance,1997
Stumble,Classic|Musical,1982
Taking Over,Love|Rap-Comb,1997
Till We Ain't Strangers Anymore,Documentary,2008
Reels: Old Joes   the Cliffs of Moher   the clips of mohair   the slightly less well informed maid,Love|Jazz|Rap-Comb,1997
Die Slow,Folk|Classic|Bass,2009
El Hombre De La Valija  Rock ,Folk|Romance,1997
Please No More,Classic,1997
Armando,Jazz|Folk,1997
Death Or Glory,Folk,1979
Skit #2  Kanye West Late Registration ,Art|Classic|Rock|Bass,2005
Drum Machine Joy,Classic|Solo|HeavyMetal,1995
Walking The Cow  Hi How Are You ,Classic,1997
The Wreckage Intro  Album Version ,Classic|HeavyMetal,2008
Queen Of The Hours  2001 Digital Remaster ,Folk|Classic,1997
I'm Just A Girl,Rap-Comb,1997
Prijateljica,Base|Solo|HeavyMetal,1997
Phantoms In The Mirror,Folk|Classic|Romance,1992
Encouraged,Folk,1997
Flat Earth Society  Album Version ,Classic|Rap-Comb,1995
Etre Une Femme,Love|Solo|HeavyMetal,2003
Never Tell,Love|Jazz|Rap-Comb,1997
Passin' Me By,Rap-Comb|HeavyMetal,1993
Chasing Monsters,Love|Jazz,1997
Night Beat,Love|Jazz,1997
SPONT AN,HeavyMetal,1997
Policias Y Ladrones,Folk|Solo|Romance,1997
But You Are,HeavyMetal,1997
English House,Classic|Musical,2008
MA c dium,Folk|Classic|Romance,2006
Angeles,Folk|Solo|HeavyMetal,1997
Hot Rod Lincoln,Folk|Classic,1988
My Tribute  to God Be The Glory ,Love|Art|Base|HeavyMetal,1997
Pretty Smiles & Shattered Teeth,Classic,1997
Kill Miss America  Album Version ,Solo|HeavyMetal,2002
Pa'lla pa'ca,Love|Jazz|Rap-Comb,1997
Zavelow House  Album Version ,Classic|Bass|Rap-Comb,1999
Gold Flames Of Angels,Art|Folk,2004
Like A Star,Classic|Rap-Comb,1997
Wanderlust,Folk|Classic,2007
Country Girl,Love|Base|Classic,1997
The Murder Prologue,Folk|Base,2007
C C  Ryder,Folk,1997
Ride On The Rhythm,Solo|HeavyMetal,1997
I B S   Amended Album Version ,Love|Base|HeavyMetal,2006
Ay ! Mi Sombrero,Classic,1997
Moscow Nights,Classic,1997
Love Divine_ All Love Excelling,Classic|Bass|Rap-Comb|HeavyMetal,1997
Prelude  Learing To Trust Album Version ,Solo|HeavyMetal,1997
Execution,Folk|Classic|Romance,2005
Red is the Rose,Base|Classic|HeavyMetal,1997
Lonesome Road,HeavyMetal,1997
Electrasonic V,Folk|Classic,1990
Shades Of Love,Solo,1997
Finally  Album Version ,Base|Classic|HeavyMetal,1997
Que Vas A Hacer?,Documentary|Classic|Musical,2004
Slow Down,Classic,1997
Born To Run,Love|Bass|Rap-Comb,1995
This is My Year,Classic,1997
Soleariyas,Love|Base|Bass|HeavyMetal,1997
Il a suffit d'une chanson d'amour,Folk|Romance,1997
Gamilia Patinada, no genres listed ,1997
I'm So Bored With The U S A ,Classic,1977
Mi Ni Yu Wo,HeavyMetal,1997
If Money Talks,Art|Classic|Rock,1985
Yi Ji Ji Zhong,Folk|Classic,1997
Good Girl Gone Bad,Art|Classic|Rock,2007
Hard To Admit,Love|War,1997
I Must Tell Somebody,Folk|Classic|Solo,1997
Laurie And Martin,Jazz|Folk|Classic,1997
Shine For Jesus,Solo|Bass,1997
Rollin' and Tumblin',Solo,2001
He's Waitin',Folk|Romance,1997
Evening Prayer,Love|Classic|Rock,1959
Sweet Lover Hangover,Love|Folk|Base,1996
Gay Ranchero,Rap-Comb|HeavyMetal,1967
Thank You For Calling,Base|Classic|HeavyMetal,1997
Sample Track 11,Love|Bass|Rap-Comb|HeavyMetal,1997
Christina The Astonishing  2010 Digital Remaster ,Jazz,1997
Hello,Love|Art|Folk|Solo,2000
Ja Soc Aqui,Folk|Solo,1997
Nada De Ti,Love|HeavyMetal,1973
Everything Good  Everything Good Version ,Love|Base,1997
Puzzle of Hearts,Classic,2006
Sweetest Goodbye,Documentary,2002
Aunque MaA+ ana No Estes,Love|Classic|War,1982
Vodne stocne,Classic|Western,1997
Did Ya Say That,Folk,2002
Streets On Fire,Folk|Romance,1997
After One Quarter Of A Revolution,Base|Classic|HeavyMetal,2009
Doctrines,Love|Art|Folk,1997
Peter Pan  j'veux pas Aatre jeune  [feat  Les Pistons Flingueurs],Jazz|Romance,1997
Butterflies,Folk|Romance,1997
The Key,Base|Classic|Rap-Comb|HeavyMetal,2010
Dog Tagged,Classic|Rap-Comb|HeavyMetal,2008
Wagoner's Lad,Love|Jazz,1997
Baby Momma  Chopped & Screwed Version ,Art|Folk,1997
Games That Lovers Play,Jazz|Classic|Romance,1967
Fang Bu Sheng Fang,Classic|War,1997
Guajira Y Ven,Folk|Romance,2001
born again,Classic,1997
What a Friend We Have in Jesus,Love,1997
Love Goes Down  Part Deux ,Base|Classic|HeavyMetal,1997
Sally Can't Dance,Classic,1974
Nothing To You,Folk|Romance,2003
Lero Do Bolero,Love|Folk|Base,2001
Peigin is Peadar,Love|Folk,1997
World Wind,Love|Classic|War|IMAX,1997
Take Five   Live,Love|Folk|Solo,1997
Sam und Bo_ N E O ,Folk|Musical,2005
Kindhearted Woman Blues,Folk|Classic|Romance,1998
Gun Shot,Jazz|Folk|Solo,1997
Dying To Stay,Classic|HeavyMetal|War,1997
Beneath The Valley Of The Underdog  Album Version + Hidden Track  Talkin' Randy Tate's     ,Folk|Base|Classic|Bass|Romance,1998
Watchie Watchie,Folk|Classic,1997
Superman,Jazz|Rap-Comb|HeavyMetal,1999
Fly Again  The Scumfrog Radio Edit ,Folk|Romance,1997
The Everclear Song,Love|Jazz|Classic,1998
Streamline,Folk|Classic|HeavyMetal,2001
El Chico Del Apartamento 512,Art|Hate|Folk|Musical|Rap-Comb,1997
One More Night,Folk,1985
Desperados,Folk,1997
Bang,Folk|Classic,2001
Cumha Eoghain Rua Ui Neill  Lament For Owen Roe ,Classic,1997
Todas Las Cosas Que Ella Me DiA3,Folk,1997
Going Back To New Orleans,Love|Classic|HeavyMetal,2001
Coyotes  Album Version ,Classic|Romance,1997
No Se Lo Que Me Da,Jazz|Classic,1997
Ice Cream Man,Documentary|War,2007
She Blinded Me With Science,Art|Folk,1982
Rock Me Baby,Art|Hate|Rock,1997
Freak it all Night,Love|Jazz|Classic,2009
Bill Lynch,Folk,1997
Watching You,Love|Jazz|Classic|Rap-Comb|HeavyMetal,2006
What's He Doin' In My World,Documentary,1967
La RiviA re De Ton Dos,Documentary,1997
Seven Days Too Long,Art,1980
Coleman's No  1   Ton Double Fisel   Kiely Cotter's   How We Spent the Christmas,Folk|Base|Romance,2008
Speaker Problems,Folk|Base,1997
Chain  Album Version ,Love|Folk|Base|Romance,2003
Hiekkaa  polvere ,Love|Jazz|Folk|Classic|Rock|HeavyMetal,1997
Let's Roll  Take 1 ,Folk,1991
Satellite Of Love  Album Version ,Jazz|Hate|Folk,1997
For Anything,Love|Classic|HeavyMetal|War,1996
Zig Zag Walk,Jazz,1983
Mopao,Classic,2003
Peanuts  The Peanut Vendor ,Hate|Folk,1997
Go Baby  feat GemStones   Explicit Album Version ,Love|HeavyMetal,1997
Cuento De La Buena Pipa,Jazz|Hate,2003
Angry Young Men  LP Version ,Folk|Base|HeavyMetal,1997
Anytime You Need A Friend,Folk|Classic|Romance,1993
Broderskapets ring,Documentary|Classic|HeavyMetal,1996
Rock And Roll  Could Never Hip Hop Like This  Part 2 featuring Lord Finesse_ Mike Shonoda_ Chester Bennington_ Rahzel_ Qbert_ Grand Wizard Theodore & Jazzy Jay  Instrumental ,Classic|HeavyMetal,2004
Completeness,Folk|Solo|HeavyMetal,1970
Perk trip   sleeping in  tubes,Rap-Comb,1997
Dasotmori Live,Base|Classic|HeavyMetal,1997
The Wickedness,Base|Classic|Bass|HeavyMetal,1997
Right here Waiting,Folk,1997
God Is The Answer  Footprints In The Sand Album Version ,Folk,1997
Si Lu,Folk|Base|Classic,1997
Baby Boy [feat  Beyonce],Jazz|Rock,1997
